統合前,統合後
光星学院,八戸学院光星
平安,龍谷大平安
東海大四,東海大札幌
常葉菊川,常葉大菊川
鳴門工,鳴門渦潮
中京学院大中京,中京
江の川,石見智翠館
佐久,佐久長聖
観音寺中央,観音寺総合
鹿児島商工,樟南
京都西,京都外大西
秋田経法大付,ノースアジア大明桜
北陽,関大北陽
明徳,明徳義塾
中京,中京大中京
宇都宮学園,文星芸大付
浦和市立,市立浦和
秋田経大付,ノースアジア大明桜
名古屋電気,愛工大名電
浪商,大体大浪商
東海大一,東海大静岡翔洋
京都商,京都先端科学大付
志度商,志度
印旛,印旛明誠
御坊商工,紀央館
丸亀商,丸亀城西
城西,城西大城西
大鉄,阪南大高
中京商,中京大中京
木更津中央,木更津総合
岐阜短大付,岐阜聖徳学園
岐阜商,県岐阜商
東海大工,東海大静岡翔洋
平安中,龍谷大平安
和歌山中,桐蔭
海草中,向陽
海南中,海南
市和歌山商,市和歌山
県和歌山商,和歌山商
田辺中,田辺
浪華商,大体大浪商
東邦商,東邦
享栄商,享栄
名古屋電工,愛工大名電
愛知一中,旭丘
豊橋時習館,時習館
津島中,津島
神戸一中,神戸
神戸二中,兵庫
甲陽中,甲陽学院
滝川中,滝川
育英商,育英
第一神港商,神港橘
市立神港,神港橘
明石中,明石
松山中,松山東
北予中,松山北
高松中,高松
米子中,米子東
鳥取中,鳥取西
鳥取一中,鳥取西
松江中,松江北
岡山一中,岡山朝日
広陵中,広陵
呉港中,呉港
柳井中,柳井
京都一商,西京
西京商,西京
京都一中,洛北
京都二中,鳥羽
立命館中,立命館
慶応普通部,慶応
東京高師付中,筑波大附
日大三中,日大三
成田中,成田
千葉中,千葉
浦和中,浦和
熊谷商工,熊谷商
前橋中,前橋
桐生中,桐生
栃木中,栃木
宇都宮中,宇都宮
浅野中,浅野
静岡中,静岡
松本商,松商学園
上田松尾,上田
丸子実,丸子修学館
長岡中,長岡
敦賀商,敦賀
盛岡中,盛岡一
一関中,一関一
福岡中,福岡
秋田中,秋田
仙台二中,仙台二
東北中,東北
函館中,函館中部
札幌商,北海学園札幌
北海中,北海
小倉中,小倉
小倉北,小倉
豊国中,豊国学園
徳島海南,海部
城東中,追手前
飯田長姫,飯田OIDE長姫
市岡中,市岡
八尾中,八尾
北野中,北野
明星商,明星
郡山中,郡山
御所工,御所実
大社中,大社
鹿児島一中,鶴丸
杵築中,杵築
三重四中,宇治山田
関西学院中,関西学院
